,Year,Date,Description,FullDate,Country
136,2021,20-Jan,"Joe Biden is inaugurated as President of the United States. Kamala Harris, sworn in as vice president, becomes the first woman, first African American and first Asian American to be vice president.",01/20/2021,U.S.
137,2021,22-Jan,"The Treaty on the Prohibition of Nuclear Weapons, the first legally binding international agreement comprehensively to prohibit nuclear weapons, comes into effect.",01/22/2021,International
138,2021,February 13 – 17,"Winter Storm Uri becomes the costliest winter storm in North American history, costing $200 billion and 237 lives, and triggering the 2021 Texas power crisis.",,U.S.
139,2021,18-Feb,"NASA's Mars 2020 mission (containing the Perseverance rover and Ingenuity helicopter drone) lands on Mars at Jezero Crater, after seven months of travel.",02/18/2021,Mars
140,2021,22-Feb,"Luca Attanasio, the Italian ambassador to the Democratic Republic of the Congo, is murdered near Goma.",02/22/2021,Democratic Republic of the Congo
141,2021,6-Mar,"Pope Francis meets with Grand Ayatollah Ali al-Sistani in Najaf, Iraq. It is the first-ever meeting between a pope and a grand ayatollah.",03/06/2021,Iraq
142,2021,18-Mar,The Spanish Congress of Deputies passes the euthanasia law.[3],03/18/2021,EUR
143,2021,20-Mar,"Turkish President Recep Tayyip Erdoğan announces his country's withdrawal from the Istanbul Convention, the first country to do so.",03/20/2021,Turkey
144,2021,21-Mar,"Clashes in Apure between Colombian FARC dissidents and the Venezuelan Armed Forces cause at least six casualties and displace 4,000 Venezuelans.",03/21/2021,"Venezuela,Colombia"
145,2021,March 23 – 29,"The container ship Ever Given obstructs the Suez Canal for six days, costing an estimated $3.6 billion in global trade.",,Egypt
146,2021,9-Apr,"Buckingham Palace announces the death of Prince Philip, Duke of Edinburgh and husband of the Queen, at the age of 99.",04/09/2021,U.K.
147,2021,11-Apr,"Hideki Matsuyama wins the 2021 Masters Tournament, becoming the first man from Japan to win a major golf championship.",04/11/2021,U.S.
148,2021,13-Apr,"Japan's government approves the dumping of radioactive water of the Fukushima Daiichi Nuclear Power Plant into the Pacific Ocean over the course of 30 years, with full support of the International Atomic Energy Agency.",04/13/2021,Japan
149,2021,15-Apr,"Scientists announce they successfully injected human stem cells into the embryos of monkeys, creating chimera-embryos.",04/15/2021,International
150,2021,20-Apr,"Idriss Déby, President of Chad, is killed in clashes with rebel forces after 30 years in office.",04/20/2021,Chad
151,2021,24-Apr,"Following an international search and rescue effort, the Indonesian navy reports the sinking of KRI Nanggala with 53 crew members, the largest loss of life aboard a submarine since 2003.",04/24/2021,Indonesia
152,2021,April 28 – May 1,A border clash between Kyrgyzstan and Tajikistan leads to 55 deaths.,,"Kyrgyzstan,Tajikistan"
153,2021,May 6 – 21,Hundreds die in conflicts after Israel evicts six Palestinian families from East Jerusalem.,,Israel
154,2021,23-May,Ryanair Flight 4978 is forced to land by Belarusian authorities to detain dissident journalist Roman Protasevich.,05/23/2021,Belarus
155,2021,7-Jun,"The Juno spacecraft performs its only flyby of Jupiter's moon Ganymede, the first flyby of the moon by any spacecraft in over 20 years.",06/07/2021,Jupiter
156,2021,13-Jun,"Benjamin Netanyahu, the longest-serving prime minister of Israel, is voted out of office; Naftali Bennett and Yair Lapid are sworn in as Prime Minister of Israel and as Alternate Prime Minister of Israel, respectively.",06/13/2021,Israel
157,2021,19-Jun,"Joe Biden signs Juneteenth National Independence Day Act into law, making Juneteenth a federal holiday. It is the first new federal holiday since Martin Luther King Jr. Day.[4][5]",06/19/2021,U.S.
158,2021,24-Jun,"The Champlain Towers South condominium in Surfside, Florida, collapses, killing 98 people.",06/24/2021,U.S.
159,2021,4-Jul,"50 people are killed and 46 others are injured when a C-130 transport plane of the Philippine Air Force crashes in Jolo, Sulu.",07/04/2021,Philippines
160,2021,7-Jul,"Haitian President Jovenel Moïse, is assassinated in a midnight attack by unknown mercenaries.",07/07/2021,Haiti
161,2021,18-Jul,"An international investigation reveals that spyware sold by Israel's NSO Group to different governments is being used to target heads of state, along with thousands of activists, journalists and dissidents around the world.",07/18/2021,International
162,2021,19-Jul,"Blue Origin successfully conducts its first human test flight, with a reusable New Shepard rocket delivering four crew members into space including its founder Jeff Bezos.",07/19/2021,U.S.
163,2021,28-Jul,"The first direct observation of light from behind a black hole is reported, confirming Einstein's theory of general relativity.",07/28/2021,International
164,2021,9-Aug,"The Intergovernmental Panel on Climate Change releases the first part of its Sixth Assessment Report, which concludes that the effects of human-caused climate change are now ""widespread, rapid, and intensifying"".",08/09/2021,International
165,2021,14-Aug,"An earthquake in Haiti kills over 2,000 people.",08/14/2021,Haiti
166,2021,15-Aug,"Kabul falls following the 2021 Taliban offensive, as the Islamic Republic of Afghanistan collapses, and the country is governed thereafter by the Taliban as the reinstated Islamic Emirate of Afghanistan. The War in Afghanistan thus ends after 20 years following the withdrawal of U.S. and coalition troops.",08/15/2021,Afghanistan
167,2021,30-Aug,"The UN Environment Programme announces that leaded petrol in road vehicles has been phased out globally, a hundred years after its introduction.",08/30/2021,International
168,2021,7-Sep,El Salvador becomes the first country in the world to accept Bitcoin as an official currency.,09/07/2021,U.S.
169,2021,14-Sep,North Korea demonstrates two short-range ballistic missiles that land just outside Japan's territorial waters; hours later South Korea demonstrates its first submarine-launched ballistic missile.,09/14/2021,"North Korea,Korean"
170,2021,15-Sep,"A trilateral security pact between Australia, the United Kingdom, and the United States is formed to counter Chinese influence. This includes enabling Australia to build its first nuclear-powered submarine fleet.",09/15/2021,"Australia,U.K.,U.S."
171,2021,16-Sep,"Inspiration4, launched by SpaceX, becomes the first all-civilian spaceflight, carrying a four-person crew on a three-day orbit of the Earth.",09/16/2021,U.S.
172,2021,3-Oct,"The International Consortium of Investigative Journalists and assorted media partners publish a set of 11.9 million documents leaked from 14 financial services companies known as the Pandora Papers, revealing offshore financial activities that involve multiple current and former world leaders.",10/03/2021,International
173,2021,6-Oct,The World Health Organization endorses the first malaria vaccine.,10/06/2021,International
174,2021,16-Nov,"Russia draws international condemnation following an anti-satellite weapon test that creates a cloud of space debris, threatening the International Space Station.",11/16/2021,Russia
175,2021,30-Nov,Barbados becomes a republic on its 55th anniversary of independence while remaining a member of the Commonwealth of Nations.,11/30/2021,Barbados
176,2021,9-Dec,"A truck crash in Chiapas, Mexico, kills 55 migrants who were being smuggled in it from Guatemala through Mexico to its border with the United States.",12/09/2021,Mexico
177,2021,December 16 – 18,"Typhoon Rai lashes into Visayas and Mindanao, killing 409 people.",,Philippines
178,2022,January – September,Coups d'état in Burkina Faso.,,Burkina Faso
179,2022,2-Jan,2022 Kazakh unrest.,01/02/2022,Kazakhstan
180,2022,4-Jan,"China, France, Russia, the UK, and the US—all five permanent members of the United Nations Security Council—issue a rare joint statement affirming that ""a nuclear war cannot be won and must never be fought.""[6]",01/04/2022,"China,EUR,Russia,U.K.,U.S."
181,2022,15-Jan,"The Hunga Tonga–Hunga Haʻapai eruption and tsunami is the largest and most powerful volcanic eruption in decades, and the largest explosion ever recorded by modern instruments.",01/15/2022,Tonga
182,2022,February 4 – 20,"The 2022 Winter Olympics are held in Beijing, China, making it the first city ever to host both the Summer Olympics and Winter Olympics.[7]",,China
183,2022,24-Feb,"Russia invades Ukraine, escalating the Russo-Ukrainian War, causing a refugee crisis and tens of thousands of deaths on both sides.",02/24/2022,"Russia,EUR"
184,2022,20-Mar,"WHL0137-LS ""Earendel"" imaged by Hubble Space Telescope, the earliest and most distant known star.",03/20/2022,International
185,2022,March 15 – November 14,Sri Lankan protests.,,Sri Lanka
186,2022,April – November,Pakistani constitutional crisis and attempted assassination of Imran Khan.,,Pakistan
187,2022,14-Apr,Elon Musk purchases Twitter.,04/14/2022,U.S.
188,2022,19-Apr,"Kane Tanaka, the second oldest verified person to have ever lived, dies at the age of 119.",04/19/2022,Japan
189,2022,6-May,Monkeypox outbreak.,05/06/2022,International
190,2022,12-May,"Sagittarius A*, supermassive black hole at Galactic Center, imaged by Event Horizon Telescope.",05/12/2022,International
191,2022,June 12 – September 12,Heat waves in Europe kill tens of thousands.,,EUR
192,2022,22-Jun,Earthquake in Afghanistan.,06/22/2022,Afghanistan
193,2022,30-Jun,Ketanji Brown Jackson becomes the first black woman on the Supreme Court.,06/30/2022,U.S.
194,2022,July – October,United Kingdom government crises,,U.K.
195,2022,July,Oder environmental disaster.,07/01/2022,"Poland,EUR"
196,2022,8-Jul,Assassination of Shinzo Abe.,07/08/2022,Chile
197,2022,11-Jul,"James Webb Space Telescope takes Webb's First Deep Field, oldest and highest resolution image of the universe to date.",07/11/2022,U.S.
198,2022,22-Jul,Chinese paddlefish declared extinct.,07/22/2022,China
199,2022,4-Aug,China conducts its largest ever military exercise around Taiwan in response to a controversial visit by Nancy Pelosi.,08/04/2022,"China,Taiwan"
200,2022,24-Aug,"""Man of the Hole"", reclusive indigenous Brazilian and last of his ethnicity, dies.",08/24/2022,Brazil
201,2022,28-Aug,Floods in Pakistan trigger an economic crisis.,08/28/2022,Pakistan
202,2022,31-Aug,UN Human Rights Office report on Xinjiang is released.,08/31/2022,
203,2022,8-Sep,"Elizabeth II dies at the age of 96, and is succeeded by Charles III.",09/08/2022,
204,2022,16-Sep,Mahsa Amini protests.,09/16/2022,
205,2022,25-Sep,Eliud Kipchoge sets marathon world record at the 2022 Berlin Marathon.,09/25/2022,
206,2022,26-Sep,Double Asteroid Redirection Test demonstrates capabilities on asteroid (65803) Didymos I Dimorphos.,09/26/2022,
